,desc,perc,selectionID,sport,temp,time,topBottom,win
13,WTA Western & Southern Open - Qtrs (J. Jankovic v. A. Schmiedlova): Who will WIN the 1st Set?,94.1,unselectable,Tennis,Warmer,2015-08-21 19:10:00,Top,No
14,ATP Western & Southern Open - Qtrs (#2 Roger Federer v. Feliciano Lopez): How many GAMES will Federer WIN?,89.2,unselectable,Tennis,Cold,2015-08-21 19:10:00,Top,No
15,NFL Preseason: Who will WIN this matchup?,90.1,unselectable,NFL,Warm,2015-08-21 19:35:00,Top,No
16,NFL Preseason: Who will WIN this matchup?,67.4,unselectable,NFL,Cold,2015-08-21 20:06:00,Top,No
17,MLB: Who will WIN this matchup?,50.9,unselectable,MLB,Cold,2015-08-21 20:10:00,Bottom,Yes
18,NFL Preseason (Seahawks @ Chiefs): How many DIFFERENT PLAYERS will SCORE a TD in the 1st Half?,79.8,unselectable,NFL,Warm,2015-08-21 20:10:00,Bottom,Yes
19,WTA Western & Southern Open - Qtrs (#3 S. Halep v. A. Pavlyuchenkova): What will be the match result?,92.0,unselectable,Tennis,Warm,2015-08-21 20:40:00,Top,No
20,MLB: Who will WIN this matchup?,93.9,unselectable,MLB,Warm,2015-08-21 20:40:00,Top,No
21,NFL Preseason (Seahawks @ Chiefs): How many POINTS will be SCORED in the 2nd Half? (No OT),73.9,unselectable,NFL,Warm,2015-08-21 21:42:00,Top,No
22,MLB: Who will WIN this matchup?,66.8,unselectable,MLB,Cold,2015-08-21 22:05:00,Bottom,Yes
23,MLB: Who will WIN this matchup?,95.9,unselectable,MLB,Warmer,2015-08-21 22:05:00,Top,No
24,MLB: Who will WIN this matchup?,64.0,unselectable,MLB,Cold,2015-08-21 22:10:00,Bottom,Yes
25,MLB: Who will WIN this matchup?,97.4,unselectable,MLB,Hot,2015-08-21 22:10:00,Top,No
26,Major League Soccer (Houston Dynamo @ Portland Timbers): Will Portland LEAD at Halftime?,68.5,unselectable,Soccer,Hot,2015-08-21 23:07:00,Bottom,Yes
0,English Premier League: What will be the match result?,57.6,unselectable,Soccer,Hot,2015-08-22 07:45:00,Top,No
1,EPL (Tottenham Hotspur @ Leicester City): Will a GOAL be SCORED in the 75th Minute or Later?,80.3,unselectable,Soccer,Hot,2015-08-22 11:31:00,Bottom,Yes
2,German Bundesliga (VfB Stuttgart @ Hamburg SV): How many GOALS will be SCORED?,79.4,unselectable,Soccer,Warmer,2015-08-22 12:30:00,Bottom,Yes
3,MLB: Who will WIN this matchup?,89.6,unselectable,MLB,Warmer,2015-08-22 13:05:00,Bottom,Yes
4,ATP Western & Southern Open - Semis (#1 Novak Djokovic v. Alexandr Dolgopolov): Which side will record a HIGHER TOTAL?,70.1,unselectable,Tennis,Warm,2015-08-22 13:10:00,Bottom,Yes
5,"PGA Wyndham - (Greensboro, NC): Which PLAYER will card the LOWER 3rd Round SCORE? (18 Holes)",91.7,unselectable,Golf,Warm,2015-08-22 14:00:00,Bottom,Yes
6,"Rugby Union International Friendly (Turin, Italy): Who will WIN this matchup?",96.2,unselectable,Rugby,Warmer,2015-08-22 14:00:00,Top,No
7,"ATP Western & Southern Open - Semifinals (Cincinnati, OH): Who will WIN this matchup?",90.5,unselectable,Tennis,Hot,2015-08-22 15:52:10,Bottom,Yes
8,MLB: Who will WIN this matchup?,94.8,unselectable,MLB,Warmer,2015-08-22 19:05:00,Bottom,Yes
9,NFL Preseason: Who will WIN this matchup?,72.2,unselectable,NFL,Cold,2015-08-22 19:05:00,Top,No
10,MLB: Who will WIN this matchup?,73.3,unselectable,MLB,Cold,2015-08-22 19:08:00,Top,No
11,MLB: Who will WIN this matchup?,93.1,unselectable,MLB,Warm,2015-08-22 19:10:00,Top,No
12,MLB: Who will WIN this matchup?,76.0,unselectable,MLB,Cold,2015-08-22 19:10:00,Bottom,Yes
13,MLB: Who will WIN this matchup?,51.0,unselectable,MLB,Cold,2015-08-22 19:10:00,Top,No
14,WTA Western & Southern Open - Semis: Will #1 S. Williams (v. E. Svitolina) AND #3 S. Halep (v. J. Jankovic) BOTH WIN?,96.0,unselectable,Tennis,Warm,2015-08-22 19:10:00,Top,No
15,NFL Preseason: Who will WIN this matchup?,90.9,unselectable,NFL,Cold,2015-08-22 19:35:00,Bottom,Yes
16,NFL Preseason: Who will WIN this matchup?,56.3,unselectable,NFL,Warm,2015-08-22 19:35:00,Top,No
17,NFL Preseason: Who will WIN this matchup?,84.8,unselectable,NFL,Cold,2015-08-22 19:35:00,Bottom,Yes
18,Major League Soccer: What will be the match result?,82.0,unselectable,Soccer,Cold,2015-08-22 19:37:00,Top,No
19,"NASCAR Irwin Tools Night Race (Bristol, TN): Which DRIVER will WIN the RACE?",75.3,unselectable,NASCAR,Cold,2015-08-22 19:40:00,Bottom,Yes
20,Arena Football League Playoffs - National Conference Championship: What will be the GAME RESULT?,78.0,unselectable,AFL,Cold,2015-08-22 20:05:00,Top,No
21,NFL Preseason: Who will WIN this matchup?,73.6,unselectable,NFL,Cold,2015-08-22 20:05:00,Top,No
22,MLB: Who will WIN this matchup?,97.4,unselectable,MLB,Warm,2015-08-22 20:10:00,Top,No
23,MLB: Who will WIN this matchup?,97.3,unselectable,MLB,Hot,2015-08-22 20:40:00,Top,No
24,MLB: Who will WIN this matchup?,89.6,unselectable,MLB,Warmer,2015-08-22 21:05:00,Bottom,Yes
25,MLB: Who will WIN this matchup?,57.6,unselectable,MLB,Cold,2015-08-22 21:10:00,Top,No
26,MLB: Who will WIN this matchup?,82.9,unselectable,MLB,Warmer,2015-08-22 21:37:00,Top,No
27,NFL Preseason: Who will WIN this matchup?,82.2,unselectable,NFL,Warmer,2015-08-22 22:05:00,Bottom,Yes
28,Major League Soccer: What will be the match result?,57.0,unselectable,Soccer,Hot,2015-08-22 22:12:00,Top,No
0,"Formula 1 Belgian Grand Prix (Francorchamps, Belgium): Will Valtteri Bottas record a Top-3 FINISH?",83.3,unselectable,Autos,Warm,2015-08-23 08:00:00,Bottom,Yes
1,English Premier League: What will be the match result?,95.0,unselectable,Soccer,Hot,2015-08-23 08:30:00,Top,No
2,"IAAF World Championships - Men's 100 Meter Final (Beijing, China): Who will WIN the championship?",63.7,unselectable,Track,Warmer,2015-08-23 09:15:00,Bottom,Yes
3,English Premier League: What will be the match result?,83.3,unselectable,Soccer,Hot,2015-08-23 11:00:00,Top,No
4,NFL Preseason: Who will WIN this matchup?,76.2,unselectable,NFL,Warm,2015-08-23 13:05:00,Top,No
5,MLB: Who will WIN this matchup?,93.1,unselectable,MLB,Warm,2015-08-23 13:08:00,Top,No
6,MLB: Who will WIN this matchup?,65.2,unselectable,MLB,Cold,2015-08-23 13:10:00,Top,No
7,MLB: Who will WIN this matchup?,52.1,unselectable,MLB,Cold,2015-08-23 13:10:00,Top,No
8,"ATP Western & Southern Open - Final (Cincinnati, OH): Who will WIN the championship?",84.8,unselectable,Tennis,Warmer,2015-08-23 13:12:05,Top,No
9,MLB: Who will WIN this matchup?,92.7,unselectable,MLB,Warm,2015-08-23 13:35:00,Top,No
10,MLB: Who will WIN this matchup?,99.2,unselectable,MLB,Warmer,2015-08-23 13:35:00,Bottom,Yes
11,"PGA Wyndham - 4th Rd (Greensboro, NC): Who will WIN the TOURNAMENT?",71.7,unselectable,Golf,Warm,2015-08-23 14:00:00,Top,No
12,IndyCar ABC Supply 500 (Pocono Raceway): Which DRIVER will have the BETTER FINISH?,97.9,unselectable,Autos,Warm,2015-08-23 14:05:00,Top,No
13,Major League Soccer: What will be the match result?,82.8,unselectable,Soccer,Warmer,2015-08-23 15:20:00,Top,No
14,WTA Western & Southern Open - Final (#3 Simona Halep v. #1 Serena Williams): What will be the match result?,59.6,unselectable,Tennis,Warmer,2015-08-23 15:24:00,Top,No
15,MLB: Who will WIN this matchup?,79.6,unselectable,MLB,Warm,2015-08-23 15:35:00,Top,No
16,WNBA: Who will WIN this matchup?,79.8,unselectable,WNBA,Cold,2015-08-23 16:00:00,Bottom,Yes
17,MLB: Who will WIN this matchup?,90.1,unselectable,MLB,Cold,2015-08-23 16:05:00,Top,No
18,MLB: Who will WIN this matchup?,72.8,unselectable,MLB,Cold,2015-08-23 16:10:00,Bottom,Yes
19,MLB: Who will WIN this matchup?,98.5,unselectable,MLB,Warmer,2015-08-23 16:10:00,Top,No
20,MLB: Who will WIN this matchup?,96.6,unselectable,MLB,Cold,2015-08-23 16:10:00,Top,No
21,League of Legends Championship Series - North American Final (Madison Square Garden): Who will WIN this matchup?,87.4,unselectable,Unknown,Warm,2015-08-23 17:00:00,Top,No
