,desc,perc,selectionID,sport,temp,time,topBottom,win
0,Kontinental Hockey League: Who will WIN this matchup?,81.6,unselectable,Hockey,Hot,2014-12-09 09:00:00,Bottom,Yes
1,South African Premiership: What will be the match result?,95.8,unselectable,Soccer,Hot,2014-12-09 12:30:00,Bottom,Yes
2,UCL: Will Real Madrid (v. Ludogorets) have the LARGEST MARGIN of VICTORY in the 2:45 pm ET UCL matches? (8 Games),72.9,unselectable,Soccer,Warm,2014-12-09 14:45:00,Bottom,Yes
3,UEFA Champions League (Group B): What will be the match result?,88.7,unselectable,Soccer,Warm,2014-12-09 14:45:00,Bottom,Yes
4,UEFA Champions League: Which TEAM will WIN Group C?,98.7,unselectable,Soccer,Warm,2014-12-09 14:45:00,Top,No
5,"NCB Jimmy V Classic (New York, NY): Who will WIN this matchup?",97.4,unselectable,NCB,Hot,2014-12-09 19:02:00,Bottom,Yes
6,NCB Jimmy V Classic (Illinois v. #7 Villanova): Which side will record a HIGHER TOTAL?,58.2,unselectable,NCB,Cold,2014-12-09 19:03:00,Bottom,Yes
7,NCB: What will be the GAME RESULT?,90.7,unselectable,NCB,Cold,2014-12-09 19:04:00,Bottom,Yes
8,NCB (UMKC @ #14 Iowa State): What will be the GAME RESULT?,73.7,unselectable,NCB,None,2014-12-09 19:04:00,Top,No
9,NHL: Who will WIN this matchup?,52.4,unselectable,NHL,None,2014-12-09 19:05:00,Top,No
10,NHL: Who will WIN this matchup?,98.8,unselectable,NHL,Cold,2014-12-09 19:05:00,Top,No
11,NBA: Who will WIN this matchup?,89.4,unselectable,NBA,Cold,2014-12-09 19:05:00,Bottom,Yes
12,NHL: Who will WIN this matchup?,70.0,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
13,NHL: Who will WIN this matchup?,74.8,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
14,NHL: Who will WIN this matchup?,95.9,unselectable,NHL,Cold,2014-12-09 19:35:00,Bottom,Yes
15,NHL: Who will WIN this matchup?,98.4,unselectable,NHL,Warmer,2014-12-09 19:40:00,Top,No
16,NHL: Who will WIN this matchup?,55.5,unselectable,NHL,Cold,2014-12-09 20:05:00,Top,No
17,NBA: Who will WIN this matchup?,78.5,unselectable,NBA,Cold,2014-12-09 20:05:00,Bottom,Yes
18,NCB Jimmy V Classic (Illinois v. #7 Villanova): Will EITHER TEAM MAKE 5 or More 3-POINTERS in the 2nd Half? (No OT),72.5,unselectable,NCB,Warmer,2014-12-09 20:17:00,Bottom,Yes
19,NHL: Who will WIN this matchup?,63.8,unselectable,NHL,Cold,2014-12-09 20:35:00,Bottom,Yes
20,NCB: Which side will record a HIGHER TOTAL?,56.4,unselectable,NCB,Cold,2014-12-09 21:03:00,Top,No
21,NBA: Who will WIN this matchup?,87.2,unselectable,NBA,Cold,2014-12-09 21:05:00,Bottom,Yes
22,NHL: Who will WIN this matchup?,94.8,unselectable,NHL,Cold,2014-12-09 21:05:00,Top,No
23,NCB: What will be the GAME RESULT?,82.1,unselectable,NCB,Cold,2014-12-09 21:05:00,Top,No
24,NCB (Eastern Michigan @ Michigan): What will be the GAME RESULT?,94.9,unselectable,NCB,Cold,2014-12-09 21:05:00,Top,No
25,"NCB Jimmy V Classic (New York, NY): What will be the GAME RESULT?",82.3,unselectable,NCB,Hot,2014-12-09 21:40:00,Bottom,Yes
26,NBA: Who will WIN this matchup?,79.8,unselectable,NBA,Hot,2014-12-09 22:40:00,Top,No
0,Serbian SuperLiga: What will be the match result?,82.3,unselectable,Soccer,Hot,2014-12-10 07:00:00,Top,No
1,EuroLeague (Group D): Who will WIN this matchup?,90.8,unselectable,Hoops,Hot,2014-12-10 12:00:00,Top,No
2,UEFA Champions League (Group E): Which TEAM will ADVANCE to the Knockout Round?,88.2,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
3,UEFA Champions League: Which TEAM will WIN Group F?,92.7,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
4,UEFA Champions League (Group G): What will be the match result?,96.8,unselectable,Soccer,Warm,2014-12-10 14:45:00,Bottom,Yes
5,NCB: Who will WIN this matchup?,94.1,unselectable,NCB,Warmer,2014-12-10 19:02:00,Top,No
6,NCB (Columbia @ #1 Kentucky): What will be the GAME RESULT?,97.7,unselectable,NCB,Warm,2014-12-10 19:02:00,Top,No
7,NCB (High Point @ #12 Ohio State): What will be the GAME RESULT?,88.7,unselectable,NCB,Cold,2014-12-10 19:02:00,Top,No
8,NBA: Who will WIN this matchup?,61.3,unselectable,NBA,Cold,2014-12-10 19:05:00,Top,No
9,NBA: Which side will record a HIGHER TOTAL?,59.7,unselectable,NBA,Cold,2014-12-10 20:07:00,Top,No
10,NBA (Pelicans @ Mavericks): How many POINTS + REBOUNDS will Anthony Davis (NO) record in the 1st Half?,67.2,unselectable,NBA,Warm,2014-12-10 20:08:00,Top,No
11,NHL: Who will WIN this matchup?,91.1,unselectable,NHL,Warmer,2014-12-10 20:10:00,Bottom,Yes
12,NCB (#5 Wisconsin @ Milwaukee): What will be the GAME RESULT?,81.6,unselectable,NCB,Warm,2014-12-10 21:05:00,Top,No
13,NCB: Who will WIN this matchup?,52.7,unselectable,NCB,Cold,2014-12-10 21:05:00,Top,No
14,NBA (Pelicans @ Mavericks): Will EITHER TEAM SCORE 30 POINTS or MORE in the 3rd Quarter?,89.0,unselectable,NBA,Hot,2014-12-10 21:23:00,Bottom,Yes
15,NBA: Who will WIN this matchup?,65.4,unselectable,NBA,Hot,2014-12-10 22:40:00,Bottom,Yes
0,Kontinental Hockey League: Who will WIN this matchup?,92.4,unselectable,Hockey,Hot,2014-12-11 09:00:00,Top,No
1,UEFA Europa League (Group C): Who will WIN Group C?,94.1,unselectable,Soccer,Hot,2014-12-11 13:00:00,Top,No
2,UEFA Europa League (Group H): What will be the match result?,94.4,unselectable,Soccer,Hot,2014-12-11 15:05:00,Bottom,Yes
3,NHL: Who will WIN this matchup?,95.6,unselectable,NHL,Warmer,2014-12-11 19:00:00,Top,No
4,NHL: Who will WIN this matchup?,73.8,unselectable,NHL,Cold,2014-12-11 19:00:00,Bottom,Yes
5,NHL: Who will WIN this matchup?,75.6,unselectable,NHL,Cold,2014-12-11 19:00:00,Top,No
6,NHL: Who will WIN this matchup?,96.6,unselectable,NHL,Cold,2014-12-11 19:30:00,Top,No
7,NBA: Who will WIN this matchup?,52.4,unselectable,NBA,Warm,2014-12-11 20:10:00,Bottom,Yes
8,NFL: Who will WIN this matchup?,62.0,unselectable,NFL,Warmer,2014-12-11 20:25:00,Bottom,Yes
9,NFL (Cardinals @ Rams): Will the Cardinals SCORE in the 1st Quarter?,78.2,unselectable,NFL,Warmer,2014-12-11 20:26:00,Top,No
10,NHL: Who will WIN this matchup?,98.6,unselectable,NHL,Warm,2014-12-11 21:00:00,Top,No
11,NHL: Who will WIN this matchup?,63.4,unselectable,NHL,Cold,2014-12-11 21:00:00,Top,No
12,NFL (Cardinals @ Rams): How many TOUCHDOWNS will be SCORED in the 2nd Quarter?,54.0,unselectable,NFL,Warmer,2014-12-11 21:00:25,Top,No
13,NFL (Cardinals @ Rams): Which will OCCUR FIRST in the 3rd Quarter?,54.6,unselectable,NFL,Warmer,2014-12-11 22:05:00,Bottom,Yes
14,NHL: Who will WIN this matchup?,81.4,unselectable,NHL,Warm,2014-12-11 22:30:00,Bottom,Yes
15,NBA: Who will WIN this matchup?,93.7,unselectable,NBA,Hot,2014-12-11 22:45:00,Top,No
0,Kontinental Hockey League: Who will WIN this matchup?,87.8,unselectable,Hockey,Hot,2014-12-12 07:00:00,Bottom,Yes
1,Euroleague (Zalgiris Kaunas @ Unics Kazan - Group A): How many POINTS will be SCORED?,85.5,unselectable,Hoops,Hot,2014-12-12 11:00:00,Bottom,Yes
2,Spanish Primera Division (Real Madrid @ Almeria): What will be the match result?,58.4,unselectable,Soccer,Hot,2014-12-12 14:45:00,Bottom,Yes
3,"NCAA Men's Soccer Division I Semifinals (Cary, NC): Who will WIN this matchup?",94.6,unselectable,Soccer,Hot,2014-12-12 17:02:00,Bottom,Yes
4,NBA: Who will WIN this matchup?,77.9,unselectable,NBA,Warm,2014-12-12 19:05:00,Top,No
5,NBA: Who will WIN this matchup?,55.4,unselectable,NBA,Cold,2014-12-12 19:10:00,Top,No
6,NBA (Trail Blazers @ Bulls): How many POINTS will L. Aldridge (POR) AND D. Rose (CHI) COMBINE for in the 1st Half?,90.7,unselectable,NBA,Warm,2014-12-12 19:10:00,Bottom,Yes
7,NHL: Who will WIN this matchup?,79.5,unselectable,NHL,Cold,2014-12-12 19:35:00,Bottom,Yes
8,"NCAA Men's Soccer Division I Semifinals (Cary, NC): Who will WIN this matchup?",96.9,unselectable,Soccer,Warm,2014-12-12 19:35:59,Bottom,Yes
9,NCB: Who will WIN this matchup?,74.2,unselectable,NCB,Cold,2014-12-12 20:04:00,Bottom,Yes
10,NBA: Who will WIN this matchup?,92.0,unselectable,NBA,Cold,2014-12-12 20:05:00,Top,No
11,NCF FCS Playoffs - Quarterfinal: Who will WIN this matchup?,99.1,unselectable,NCF,Hot,2014-12-12 20:10:00,Bottom,Yes
12,NBA (Trail Blazers @ Bulls): How many DIFFERENT PLAYERS will SCORE in the 3rd Quarter?,93.6,unselectable,NBA,Warmer,2014-12-12 20:23:26,Top,No
13,NBA: Who will WIN this matchup?,92.6,unselectable,NBA,Warmer,2014-12-12 21:05:00,Top,No
14,NBA (Lakers @ Spurs): Will Kobe Bryant (LAL) PASS or TIE Michael Jordan on the all-time scoring list? (30 pts needed),72.0,unselectable,NBA,Hot,2014-12-12 21:39:51,Bottom,Yes
15,NCAA Women's Volleyball Division I - Qtrs (#14 Nebraska @ #3 Washington): What will be the match result?,77.6,unselectable,W Vol,Warmer,2014-12-12 21:47:00,Bottom,Yes
0,English Premier League (Hull City @ Chelsea): What will be the match result?,84.0,unselectable,Soccer,Hot,2014-12-13 10:00:00,Bottom,Yes
1,NCF Division III Playoffs - Semifinal: Who will WIN this matchup?,99.1,unselectable,NCF,Hot,2014-12-13 12:00:00,Bottom,Yes
2,NCF FCS Playoffs - Quarterfinal (#7 Coastal Carolina @ #2 North Dakota State): What will be the GAME RESULT?,64.1,unselectable,NCF,Cold,2014-12-13 12:00:00,Top,No
3,NCB: What will be the GAME RESULT?,96.3,unselectable,NCB,Cold,2014-12-13 12:00:00,Top,No
4,NCB (#21 North Carolina @ #1 Kentucky): What will be the GAME RESULT?,80.2,unselectable,NCB,Warm,2014-12-13 12:05:00,Bottom,Yes
5,English Premier League: What will be the match result?,82.7,unselectable,Soccer,Warm,2014-12-13 12:30:00,Top,No
6,NCF FCS Playoffs - Quarterfinal: Who will WIN this matchup?,98.0,unselectable,NCF,Warmer,2014-12-13 13:00:00,Bottom,Yes
7,NBA: Who will WIN this matchup?,80.2,unselectable,NBA,Warm,2014-12-13 14:00:00,Top,No
8,NCB: What will be the GAME RESULT?,89.9,unselectable,NCB,Cold,2014-12-13 14:02:00,Top,No
9,"NCF (Army v. Navy - Baltimore, MD): What will be the GAME RESULT?",57.5,unselectable,NCF,Warm,2014-12-13 15:10:00,Bottom,Yes
10,"NCB (Kansas City, MO): Who will WIN this matchup?",97.3,unselectable,NCB,Hot,2014-12-13 15:17:00,Bottom,Yes
11,NCF Division III Playoffs - Semifinal: Who will WIN this matchup?,98.8,unselectable,NCF,Warmer,2014-12-13 15:30:00,Bottom,Yes
12,NCF FCS Playoffs - Quarterfinal: Who will WIN this matchup?,79.3,unselectable,NCF,Cold,2014-12-13 16:00:00,Bottom,Yes
13,NCB: Who will WIN this matchup?,95.6,unselectable,NCB,Warmer,2014-12-13 16:06:00,Top,No
14,NCB: What will be the GAME RESULT?,82.3,unselectable,NCB,Warmer,2014-12-13 17:25:00,Bottom,Yes
15,NCB: Who will WIN this matchup?,96.9,unselectable,NCB,Warmer,2014-12-13 18:06:00,Top,No
16,"NCAA Women's Volleyball Division I Quarterfinals (Minneapolis, MN): Who will WIN this matchup?",94.0,unselectable,W Vol,Warm,2014-12-13 18:35:00,Bottom,Yes
17,NBA: Who will WIN this matchup?,99.3,unselectable,NBA,Hot,2014-12-13 19:00:00,Top,No
18,NBA: Who will WIN this matchup?,64.6,unselectable,NBA,Cold,2014-12-13 19:00:00,Bottom,Yes
19,NHL: Who will WIN this matchup?,55.8,unselectable,NHL,Cold,2014-12-13 19:00:00,Top,No
20,NHL: Who will WIN this matchup?,85.0,unselectable,NHL,Cold,2014-12-13 19:00:00,Top,No
21,NHL: Who will WIN this matchup?,65.8,unselectable,NHL,None,2014-12-13 19:00:00,Bottom,Yes
22,NHL: Who will WIN this matchup?,90.3,unselectable,NHL,Cold,2014-12-13 19:00:00,Top,No
23,NCB: Who will WIN this matchup?,72.5,unselectable,NCB,Warm,2014-12-13 19:05:00,Bottom,Yes
24,NHL: Who will WIN this matchup?,95.3,unselectable,NHL,Warm,2014-12-13 20:00:00,Top,No
25,NCB: What will be the GAME RESULT?,63.6,unselectable,NCB,Cold,2014-12-13 20:10:00,Bottom,Yes
26,NHL: Who will WIN this matchup?,84.6,unselectable,NHL,Cold,2014-12-13 20:30:00,Bottom,Yes
27,NCF Heisman Trophy 2014: How many First-Place votes will Marcus Mariota (ORE) receive? (929 possible),84.0,unselectable,NCF,Warmer,2014-12-13 20:55:00,Bottom,Yes
28,NCB: Who will WIN this matchup?,97.5,unselectable,NCB,Warm,2014-12-13 21:00:00,Top,No
29,NCB: Who will WIN this matchup?,71.0,unselectable,NCB,Cold,2014-12-13 21:03:00,Top,No
30,UFC on FOX 13 (Nate Diaz vs. Rafael dos Anjos): What will be the FIGHT RESULT?,91.6,unselectable,MMA,Warm,2014-12-13 21:15:12,Bottom,Yes
31,UFC on FOX 13 (Junior dos Santos vs. Stipe Miocic): What will be the FIGHT RESULT?,77.1,unselectable,MMA,Warm,2014-12-13 21:57:00,Top,No
32,NHL: Who will WIN this matchup?,97.3,unselectable,NHL,Warm,2014-12-13 22:00:00,Top,No
33,NHL: Who will WIN this matchup?,90.9,unselectable,NHL,Cold,2014-12-13 22:00:00,Bottom,Yes
34,NBA: Who will WIN this matchup?,99.1,unselectable,NBA,Warmer,2014-12-13 22:00:00,Bottom,Yes
35,NCB: Who will WIN this matchup?,89.8,unselectable,NCB,Warmer,2014-12-13 22:08:11,Top,No
36,NHL: Who will WIN this matchup?,63.8,unselectable,NHL,Hot,2014-12-13 22:30:00,Bottom,Yes
0,English Premier League: What will be the match result?,83.7,unselectable,Soccer,Hot,2014-12-14 08:30:00,Bottom,Yes
1,English Premier League: What will be the match result?,87.8,unselectable,Soccer,Warmer,2014-12-14 11:00:00,Top,No
2,"NCAA Men's Soccer Division I Finals (Cary, NC): Who will WIN the championship?",96.0,unselectable,Soccer,Warm,2014-12-14 12:00:00,Bottom,Yes
3,NFL: Who will WIN this matchup?,93.2,unselectable,NFL,Warm,2014-12-14 13:00:00,Top,No
4,NFL: Who will WIN this matchup?,51.2,unselectable,NFL,Cold,2014-12-14 13:00:00,Bottom,Yes
5,NFL: Who will WIN this matchup?,94.2,unselectable,NFL,Cold,2014-12-14 13:00:00,Bottom,Yes
6,NFL: What will be the GAME RESULT?,71.6,unselectable,NFL,Cold,2014-12-14 13:00:00,Bottom,Yes
7,NFL (Jaguars @ Ravens): What will be the GAME RESULT?,52.3,unselectable,NFL,Cold,2014-12-14 13:00:00,Top,No
8,NFL: What will be the GAME RESULT?,70.6,unselectable,NFL,Cold,2014-12-14 13:00:00,Bottom,Yes
9,NFL: Will BOTH the New York Giants (v. Washington) AND Indianapolis (v. Houston) WIN TODAY?,78.7,unselectable,NFL,Cold,2014-12-14 13:00:00,Top,No
10,NFL: Who will WIN this matchup?,98.8,unselectable,NFL,Warmer,2014-12-14 13:00:00,Top,No
11,NCB: Who will WIN this matchup?,97.6,unselectable,NCB,Hot,2014-12-14 14:00:00,Top,No
12,NCW: Who will WIN this matchup?,63.4,unselectable,NCW,Warm,2014-12-14 15:03:00,Top,No
13,NFL: Who will WIN this matchup?,64.7,unselectable,NFL,Cold,2014-12-14 16:05:00,Top,No
14,NFL: Who will WIN this matchup?,94.4,unselectable,NFL,Warmer,2014-12-14 16:05:00,Top,No
15,NFL: What will be the GAME RESULT?,65.8,unselectable,NFL,Warmer,2014-12-14 16:25:00,Bottom,Yes
16,NFL: What will be the GAME RESULT?,62.2,unselectable,NFL,Warm,2014-12-14 16:25:00,Bottom,Yes
17,NHL: Who will WIN this matchup?,61.7,unselectable,NHL,Warm,2014-12-14 17:05:00,Bottom,Yes
18,NBA: Who will WIN this matchup?,95.6,unselectable,NBA,Warmer,2014-12-14 18:05:00,Top,No
19,NCB (UNC Wilmington @ #4 Louisville): What will be the GAME RESULT?,63.1,unselectable,NCB,Cold,2014-12-14 18:05:00,Bottom,Yes
20,NBA: Who will WIN this matchup?,84.8,unselectable,NBA,Cold,2014-12-14 19:05:00,Top,No
21,NBA: Who will WIN this matchup?,98.8,unselectable,NBA,Warmer,2014-12-14 20:05:00,Top,No
22,NFL: Who will WIN this matchup?,68.5,unselectable,NFL,Warmer,2014-12-14 20:30:00,Bottom,Yes
23,NFL (Cowboys @ Eagles): Who will record the FIRST TOUCHDOWN RECEPTION of the 1st Half?,75.6,unselectable,NFL,Warmer,2014-12-14 20:31:00,Bottom,Yes
24,NHL: Who will WIN this matchup?,95.7,unselectable,NHL,Hot,2014-12-14 21:30:00,Top,No
25,NFL (Cowboys @ Eagles): Which QUARTER will record MORE POINTS?,69.6,unselectable,NFL,Hot,2014-12-14 22:10:00,Bottom,Yes
0,Greek Basket League (Olympiakos @ Panionios): What will be the GAME RESULT?,64.1,unselectable,Hoops,Hot,2014-12-15 10:00:00,Top,No
1,Italian Serie A: What will be the match result?,87.8,unselectable,Soccer,Hot,2014-12-15 13:00:00,Top,No
2,Italian Serie A: What will be the match result?,92.4,unselectable,Soccer,Warmer,2014-12-15 15:00:00,Top,No
3,English Premier League: What will be the match result?,69.7,unselectable,Soccer,Cold,2014-12-15 15:00:00,Top,No
4,EPL (QPR @ Everton): Which TEAM will SCORE the FIRST GOAL of the 1st Half?,87.1,unselectable,Soccer,Cold,2014-12-15 15:00:00,Bottom,Yes
5,"EPL (QPR @ Everton): Will a Red Card, Own Goal or Penalty Kick OCCUR in the 2nd Half?",92.6,unselectable,Soccer,Hot,2014-12-15 16:02:00,Bottom,Yes
6,NCB (Elon @ #2 Duke): What will be the GAME RESULT?,78.2,unselectable,NCB,Warmer,2014-12-15 19:02:00,Top,No
7,NHL: Who will WIN this matchup?,60.4,unselectable,NHL,Cold,2014-12-15 19:05:00,Top,No
8,NHL: Who will WIN this matchup?,76.0,unselectable,NHL,Cold,2014-12-15 19:10:00,Bottom,Yes
9,NBA: Who will WIN this matchup?,78.5,unselectable,NBA,Cold,2014-12-15 19:35:00,Top,No
10,MNF: Who will WIN this matchup?,83.7,unselectable,NFL,Warmer,2014-12-15 20:30:00,Top,No
11,MNF (Saints @ Bears): Which TE will record more RECEIVING YARDS in the 1st Half?,76.2,unselectable,NFL,Warmer,2014-12-15 20:31:00,Top,No
12,NBA: Who will WIN this matchup?,82.9,unselectable,NBA,Hot,2014-12-15 22:05:00,Bottom,Yes
13,MNF (Saints @ Bears): Will any POINT(s) be SCORED AFTER the 2 Minute warning in the 4th Quarter? (No OT),78.7,unselectable,NFL,Hot,2014-12-15 23:12:00,Bottom,Yes
0,Turkish Cup (Group E): What will be the match result?,94.0,unselectable,Soccer,Hot,2014-12-16 08:30:00,Bottom,Yes
1,French Coupe de la Ligue - Rd of 16: Which TEAM will ADVANCE?,96.8,unselectable,Soccer,Hot,2014-12-16 12:00:00,Bottom,Yes
2,German Bundesliga (SC Freiburg @ Bayern Munich): What will be the match result?,51.8,unselectable,Soccer,Warm,2014-12-16 14:00:00,Bottom,Yes
3,Spanish Copa del Rey - Rd of 32 (2nd Leg): Which team will ADVANCE? (Las Palmas leads aggregate 2-1),69.3,unselectable,Soccer,Cold,2014-12-16 14:00:00,Bottom,Yes
4,English League Cup - Quarterfinals (Chelsea @ Derby County): Will Chelsea LEAD at HALFTIME AND WIN the match? (90 Min+Inj),95.3,unselectable,Soccer,Hot,2014-12-16 14:45:00,Top,No
5,Spanish Copa del Rey - Rd of 32 (Huesca @ Barcelona - 2nd Leg): What will be the match result? (90 Min+Inj),81.9,unselectable,Soccer,Warmer,2014-12-16 16:00:00,Bottom,Yes
6,NCB: Will BOTH #24 North Carolina (@ UNC Greensboro) AND #15 Oklahoma (v. Oral Roberts) WIN By 15+ POINTS TODAY?,62.1,unselectable,NCB,Warm,2014-12-16 19:02:00,Bottom,Yes
7,NHL: Who will WIN this matchup?,94.0,unselectable,NHL,Warmer,2014-12-16 19:05:00,Top,No
8,NHL: Who will WIN this matchup?,86.4,unselectable,NHL,Cold,2014-12-16 19:35:00,Top,No
9,NHL: Who will WIN this matchup?,74.5,unselectable,NHL,Cold,2014-12-16 19:35:00,Top,No
10,NHL: Who will WIN this matchup?,85.7,unselectable,NHL,Cold,2014-12-16 20:05:00,Bottom,Yes
11,NHL: Who will WIN this matchup?,97.4,unselectable,NHL,Warm,2014-12-16 20:05:00,Bottom,Yes
12,NBA: Who will WIN this matchup?,62.7,unselectable,NBA,Warm,2014-12-16 20:10:00,Top,No
13,NBA (Warriors @ Grizzlies): Which side will record a HIGHER TOTAL in the 1st Half?,91.8,unselectable,NBA,Warmer,2014-12-16 20:11:00,Top,No
14,NCB: Who will WIN this matchup?,69.0,unselectable,NCB,Warm,2014-12-16 21:03:00,Top,No
15,NCB: Which TEAM will have the LARGER MARGIN of VICTORY?,82.6,unselectable,NCB,Cold,2014-12-16 21:05:00,Bottom,Yes
16,NHL: Who will WIN this matchup?,95.4,unselectable,NHL,Cold,2014-12-16 21:05:00,Bottom,Yes
17,NHL: Who will WIN this matchup?,51.7,unselectable,NHL,Cold,2014-12-16 21:05:00,Top,No
18,NBA (Warriors @ Grizzlies): How many 3-Pointers will the Warriors MAKE in the 3rd Quarter?,84.3,unselectable,NBA,Hot,2014-12-16 21:24:00,Bottom,Yes
19,NBA: Which side will record a HIGHER TOTAL?,83.7,unselectable,NBA,Hot,2014-12-16 22:40:41,Top,No
0,Greek Super League: What will be the match result?,81.1,unselectable,Soccer,Hot,2014-12-17 08:01:12,Bottom,Yes
1,French Coupe de la Ligue - Rd of 16: Which TEAM will ADVANCE?,94.8,unselectable,Soccer,Hot,2014-12-17 12:40:00,Top,No
2,German Bundesliga: What will be the match result?,69.5,unselectable,Soccer,Cold,2014-12-17 14:00:00,Bottom,Yes
3,English League Cup - Quarterfinals: What will be the match result? (90 Min+Inj),95.5,unselectable,Soccer,Warmer,2014-12-17 14:45:00,Top,No
4,English League Cup - Quarterfinals: What will be the match result? (90 Min+Inj),75.5,unselectable,Soccer,Cold,2014-12-17 14:45:00,Bottom,Yes
5,French Coupe de la Ligue - Rd of 16: Which TEAM will ADVANCE?,97.7,unselectable,Soccer,Warmer,2014-12-17 15:00:00,Bottom,Yes
6,NCB (Hampton @ Illinois): What will be the GAME RESULT?,78.3,unselectable,NCB,Warm,2014-12-17 19:02:00,Top,No
7,NCB: Which side will record a HIGHER TOTAL? ,84.0,unselectable,NCB,Cold,2014-12-17 19:02:00,Top,No
8,NHL: Who will WIN this matchup?,67.3,unselectable,NHL,Cold,2014-12-17 19:05:00,Bottom,Yes
9,NBA: Who will WIN this matchup?,85.8,unselectable,NBA,Cold,2014-12-17 19:35:00,Bottom,Yes
10,NBA: What will be the GAME RESULT?,57.1,unselectable,NBA,Cold,2014-12-17 20:10:00,Bottom,Yes
11,NHL: Who will WIN this matchup?,68.2,unselectable,NHL,Cold,2014-12-17 20:10:00,Bottom,Yes
12,NBA (Nets @ Raptors): How many POINTS will the LEADING SCORER have at HALFTIME?,72.5,unselectable,NBA,Warm,2014-12-17 20:10:54,Bottom,Yes
13,NBA: Who will WIN this matchup?,68.2,unselectable,NBA,Cold,2014-12-17 20:35:00,Bottom,Yes
14,NCB: Who will WIN this matchup?,88.2,unselectable,NCB,Warm,2014-12-17 21:05:00,Top,No
15,NCB: What will be the GAME RESULT?,99.0,unselectable,NCB,Warm,2014-12-17 21:05:00,Bottom,Yes
16,NBA (Nets @ Raptors): Will the Raptors OUTSCORE the Nets in BOTH the 3rd AND 4th Quarter?,76.4,unselectable,NBA,Warm,2014-12-17 21:25:00,Bottom,Yes
17,NHL: Who will WIN this matchup?,96.8,unselectable,NHL,Warmer,2014-12-17 22:05:00,Bottom,Yes
18,NBA: Who will WIN this matchup?,95.8,unselectable,NBA,Hot,2014-12-17 22:40:00,Top,No
0,Greek Super League: What will be the match result?,56.8,unselectable,Soccer,Hot,2014-12-18 10:15:00,Top,No
1,Italian Serie A: What will be the match result?,72.5,unselectable,Soccer,Hot,2014-12-18 13:00:00,Top,No
2,Italian Serie A: What will be the match result?,72.2,unselectable,Soccer,Warm,2014-12-18 15:00:00,Top,No
3,Spanish Copa del Rey - Rd of 32 (2nd Leg): What will be the match result? (90 Min+Inj),93.0,unselectable,Soccer,Warmer,2014-12-18 16:00:00,Bottom,Yes
4,NHL: Who will WIN this matchup?,98.3,unselectable,NHL,Warmer,2014-12-18 19:00:00,Top,No
5,NHL: Who will WIN this matchup?,79.8,unselectable,NHL,Cold,2014-12-18 19:00:00,Bottom,Yes
6,NHL: Who will WIN this matchup?,56.5,unselectable,NHL,Cold,2014-12-18 19:00:00,Top,No
7,NCB: Who will WIN this matchup?,98.9,unselectable,NCB,Warm,2014-12-18 19:00:00,Top,No
8,NCB (Cleveland State @ #6 Virginia): What will be the GAME RESULT?,62.4,unselectable,NCB,Cold,2014-12-18 19:03:00,Top,No
9,"NCAA Women's Volleyball Division I Semifinals (#2 Texas v. BYU - Oklahoma City, OK): What will be the match result??",95.3,unselectable,W Vol,Cold,2014-12-18 19:05:00,Top,No
10,NCAA Division I Volleyball Semis (#2 Texas v. BYU): What will be the 1st Set RESULT?,65.2,unselectable,W Vol,Warm,2014-12-18 19:06:00,Top,No
11,NHL: Who will WIN this matchup?,58.7,unselectable,NHL,Cold,2014-12-18 19:30:00,Bottom,Yes
12,"NCB (East Rutherford, NJ): What will be the GAME RESULT?",88.0,unselectable,NCB,Warm,2014-12-18 20:03:00,Bottom,Yes
13,NCB (CONNvDUKE): Will at least ONE of Duke's FIRST FIVE MADE FIELD GOALS be a 3-Pointer?,81.2,unselectable,NCB,Warm,2014-12-18 20:03:03,Top,No
14,NBA: What will be the GAME RESULT,87.9,unselectable,NBA,Cold,2014-12-18 20:15:00,Bottom,Yes
15,NFL: Who will WIN this matchup?,78.6,unselectable,NFL,Warmer,2014-12-18 20:25:00,Bottom,Yes
16,NFL (Titans @ Jaguars): Will EITHER TEAM SCORE 10+ POINTS in the 2nd Quarter?,64.1,unselectable,NFL,Warmer,2014-12-18 21:02:00,Bottom,Yes
17,"NCAA Women's Volleyball Division I Semifinals (Oklahoma City, OK): Who will WIN this matchup?",93.9,unselectable,W Vol,Warmer,2014-12-18 21:45:00,Bottom,Yes
18,NCB: Who will WIN this matchup?,98.0,unselectable,NCB,Warmer,2014-12-18 22:05:00,Bottom,Yes
19,NHL: Who will WIN this matchup?,59.1,unselectable,NHL,Warm,2014-12-18 22:30:00,Top,No
20,NBA: Who will WIN this matchup?,82.5,unselectable,NBA,Hot,2014-12-18 22:45:00,Bottom,Yes
0,EuroLeague (Group A): Who will WIN this matchup?,87.8,unselectable,Hoops,Warmer,2014-12-19 12:00:00,Top,No
1,EuroLeague (Unics Kazan @ Nizhny Novgorod): How many POINTS will be SCORED in the 1st Quarter?,74.8,unselectable,Hoops,Warm,2014-12-19 12:01:00,Bottom,Yes
